token,value,dimension
A_time,0.0000000000000000241888432657499787303594488997122578419620513512602289689385,s
Hz⋮E_h,0.000000000000000151982984605029995167820385335687324833821816365077311772750,E_h
E_h⋮Hz,6579683920520725.03875761236245610055909527611909749399307309,Hz
R_∞_c ̇,3289841960260362.51937880618122805027954763805954874699653654,Hz
K_cd,683.002503039578295309308962652283363353647349792529698712465,lm/W
m_α,6.64465734214074610911058809705418273587075808359983156337219e-27,kg
m_de,3.34358377536356093465510742738427511404975942970751775350813e-27,kg
m_μ,1.88353161502363027570481169457139751372637916234397988124750e-28,kg
m_he,5.00641278404446567311432120140752562260929539402497766813588e-27,kg
μ_de/μ_n,-0.448206589662325990729473073256784832073469897521440800092914,-
μ_e/μ_de,-2143.92347386009410748526340245492037598860478278143416376328,-
μ_de/μ_e,-0.000466434558972162708487009161206087811806888693180506340790003,-
μ_de/μ_+,0.307012209390825305234433494564789690132292011487260661216099,-
μ_de,4.33073505993239524539102822906115899980428964942473041930933e-27,J/T
μ_μ,-4.49044833035195301944244713371863957610274256285446594822542e-26,J/T
μ_he'/μ_B,-0.00115867149694878292696011396042385226428627241201510153389293,-
μ_he'/μ_N,-2.12749776673055993232575813870957830462859375999891308216449,-
g_he,-4.25525070422297953622211401776089776402769897888590985519293,dimensionless
μ_he/μ_N,-2.12762535211148976811105700888044888201384948944295492759646,-
μ_he/μ_B,-0.00115874098211893092252343411668204392782504245500727818210929,-
E_A_mass ̇,931.494102497143440871910234056803170180625296745247319406742,MeV/c
A_mass⋮J,0.000000000149241808593480201431710626389364082513046919590151797103605,J
J⋮A_mass,6700535254.99263600708112862295704998937678894990112995747250,u
E_μ ̇,105.658374731845913750373565007041375765667043155848447097395,MeV
E_de ̇,1875.61294255340176699207109359691923437101636624798509959632,MeV
E_he ̇,2808.39160744449632438767979866240168315060055766024801664962,MeV
E_α ̇,3727.37940696477418484038952948869815042098528721882943877402,MeV
E_μ,0.0000000000169283379205041286480191030996843981794915825256739258605822,J
E_de,0.000000000300506323139997955372156570244878538366070984747323093934655,J
E_he,0.000000000449953941318756795912780524166791601553967807111305530169535,J
E_α,0.000000000597192019271235791027503380813950630249575167523647149246916,J
μ_e/μ_μ,206.766985041623099680729663190524605470284166666092700089878,-
A_mass⋮K,10809540204307.9281724708379515147733597514692135094281537168,K
K⋮A_mass,0.0000000000000925108729020560834643526329630816134378221402046908180556963,u
μ_μ/μ_+,-3.18334511221315984115366059249040436969563710854531132944055,-
μ_μ/μ_B,-0.00484197050791187248475043227743019686591769093638514524480192,-
μ_μ/μ_N,-8.89059709269183312224985556331831057302734284038292382866265,-
A_r(de),2.01355321254878110694829831828536522311472545740206690491959,-
A_r(he),3.01493224693073807333424898918251449276186709804567308916657,-
A_r(α),4.00150617912917506278898992307773976347644510359044280211903,-
m_μ/A_mass,0.113428925044823843307124860572908349494921912345029734867036,u
m_de/A_mass,2.01355321254878110694829831828536522311472545740206690491959,u
m_he/A_mass,3.01493224693073807333424898918251449276186709804567308916657,u
m_α/A_mass,4.00150617912917506278898992307773976347644510359044280211903,u
γ_he',203789460.878415833884907162451644528198376921362760958865502,1/s*T
γ_he ̇',32.4341000488323363400266895059605688782045852214768969014953,MHz/T
μ_he,-1.07461755420269799105388198827580327680067341532669689818850e-26,J/T
μ_he',-1.07455311098442188757050283435155120604194433703880562598648e-26,J/T
μ_he'/μ_+,-0.761766577306786341582765351258669846056028858315790884117814,-
μ_he'/μ_+',-0.761786134617087879625179867586898320735920935955343705253476,-
μ_e/μ_he',864.058236541606713253247478372464794347902711227271769089799,-
λ_μ,0.0000000000000117344411764093242297760195100218277332589906393591794053784,m/cycle
λ_μ_-,0.00000000000000186759431764662127960585378619809796266025298801913103814652,m/cycle
M_μ,0.000113428925199289431571990344644041263874128462353125560988675,kg/mol
M_de,0.00201355321529080375554563982678915070348239534381979428887259,kg/mol
M_he,0.00301493225103642172427986643339200149612516028103106648322463,kg/mol
M_α,0.00400150618457835837877676716834107548696015866107331674860966,kg/mol
